12,3,0,0.247010725,0.246999644
13,3,1,0.5915978,0.591583341
4,4,0,0.00023966,0.000225351
5,4,0,0.000369738,0.000348745
6,4,0,0.000424025,0.0004117
7,4,0,0.000647946,0.000636718
8,4,0,0.000889483,0.000876025
9,4,0,0.001731554,0.001717414
10,4,0,0.012611529,0.012597983
11,4,0,0.064225323,0.064208636
12,4,0,0.245045646,0.245033963
13,4,1,0.572087887,0.572077
4,5,0,0.000264673,0.000256421
5,5,0,0.000322442,0.000314378
6,5,0,0.000442289,0.000434209
7,5,0,0.000764073,0.000755244
8,5,0,0.001059511,0.00105045
9,5,0,0.001783074,0.00177487
10,5,0,0.007855639,0.00784741
11,5,0,0.039542233,0.039533875
12,5,0,0.221494802,0.221486614
13,5,1,0.590227386,0.590219293
4,6,0,0.000466184,0.000443176
5,6,0,0.000460258,0.000440408
6,6,0,0.000561663,0.000543264
7,6,0,0.001022869,0.001005481
8,6,0,0.000799087,0.000777807
9,6,0,0.004016444,0.003996752
10,6,0,0.010470969,0.010452474
11,6,0,0.064685436,0.064667916
12,6,0,0.221725142,0.221708719
13,6,1,0.588071352,0.588056474
4,7,0,0.000440271,0.00042275
5,7,0,0.00042245,0.00040524
6,7,0,0.000550587,0.000534962
7,7,0,0.000958598,0.000943059
8,7,0,0.000797748,0.000783103
9,7,0,0.002037844,0.002023204
10,7,0,0.013540025,0.013525301
11,7,0,0.039888045,0.039872331
12,7,0,0.222055715,0.22204029
13,7,1,0.584769395,0.584754598
4,8,0,0.000426628,0.000409961
5,8,0,0.000515985,0.000500429
6,8,0,0.000645847,0.00063014
7,8,0,0.001087326,0.001069966
8,8,0,0.000625854,0.000610924
9,8,0,0.00300871,0.002994624
10,8,0,0.008017299,0.008003726
11,8,0,0.039642491,0.039628991
12,8,0,0.221801504,0.221788152
13,8,1,0.618608211,0.61858934
4,0,0,3.688e-05,2.8759e-05
5,0,0,4.0322e-05,3.219e-05
6,0,0,6.3227e-05,5.4121e-05
7,0,0,0.000118558,0.000110492
8,0,0,0.000731391,0.000716485
9,0,0,0.003105919,0.003090873
10,0,0,0.01351286,0.013498495
11,0,0,0.057580991,0.057568103
12,0,0,0.225133115,0.225124616
13,0,1,0.356777123,0.356768841
4,1,0,6.8047e-05,5.6906e-05
